10,6,2.01,1.86,5015
10,7,1.96,1.80,5054
10,8,1.93,1.76,4956
10,9,1.93,1.78,4879
10,10,1.92,1.75,4984
10,11,1.95,1.79,5128
10,12,1.92,1.76,5002
10,13,1.93,1.76,5015
10,14,1.95,1.80,4969
11,1,378.10,379.51,1297
11,2,240.83,237.37,2640
11,3,128.19,135.63,3917
11,4,3.54,3.18,4909
11,5,2.23,2.04,4940
11,6,2.02,1.87,5031
11,7,1.95,1.80,4997
11,8,1.95,1.80,5041
11,9,1.95,1.77,5112
11,10,1.94,1.78,5065
11,11,1.92,1.75,4927
11,12,1.95,1.78,5050
11,13,1.95,1.79,4880
11,14,1.92,1.77,5127
12,1,359.14,367.88,1326
12,2,213.15,218.08,2807
12,3,80.08,82.33,4133
12,4,4.31,3.24,4890
12,5,2.27,2.06,5060
12,6,2.01,1.84,4945
12,7,1.92,1.75,4819
12,8,1.94,1.79,4958
12,9,1.94,1.77,4937
12,10,1.92,1.76,4960
12,11,1.94,1.77,5012
12,12,1.93,1.77,4960
12,13,1.94,1.79,5062
12,14,1.92,1.75,4940
13,1,357.05,351.78,1379
13,2,240.40,230.54,2641
13,3,111.82,115.94,3996
13,4,4.07,3.62,4992
13,5,2.21,2.04,5027
13,6,2.04,1.86,4944
13,7,1.96,1.79,4991
13,8,1.93,1.79,5050
13,9,1.93,1.77,5059
13,10,1.92,1.76,4975
13,11,1.95,1.79,4882
13,12,1.94,1.78,5002
13,13,1.91,1.75,4928
13,14,1.94,1.76,4938
14,1,361.26,358.16,1336
14,2,228.80,213.93,2645
14,3,110.09,108.07,3908
14,4,7.59,5.31,4945
14,5,2.12,1.94,4932
14,6,2.03,1.85,4910
14,7,1.94,1.78,4969
14,8,1.93,1.76,4898
14,9,1.94,1.77,5114
14,10,1.93,1.78,4827
14,11,1.91,1.77,5043
14,12,1.93,1.76,4937
14,13,1.94,1.76,4938
14,14,1.96,1.79,5080
